Fighter Name,Status,Weight Class
Islam Makhachev,C,lightweight
Belal Muhammad,C,welterweight
Jon Jones,C,heavyweight
Ilia Topuria,C,featherweight
Leon Edwards,None,welterweight
Alex Pereira,C,"middleweight, light heavyweight"
Merab Dvalishvili,C,bantamweight
Khamzat Chimaev,None,"welterweight, middleweight"
Charles Oliveira,None,lightweight
Dricus Du Plessis,C,middleweight
Shavkat Rakhmonov,None,welterweight
Magomed Ankalaev,None,light heavyweight
Tom Aspinall,IC,heavyweight
Max Holloway,None,"featherweight, lightweight"
Arman Tsarukyan,None,lightweight
Joaquin Buckley,None,"welterweight, middleweight"
Justin Gaethje,None,lightweight
Ciryl Gane,None,heavyweight
Kamaru Usman,None,welterweight
Dustin Poirier,None,lightweight
Petr Yan,None,bantamweight
Movsar Evloev,None,featherweight
Sean Brady,None,welterweight
Nassourdine Imavov,None,middleweight
Umar Nurmagomedov,None,bantamweight
Alexander Volkanovski,None,featherweight
Alexandre Pantoja,C,flyweight
Sean Strickland,None,middleweight
Sean O'Malley,None,bantamweight
Alexander Volkov,None,heavyweight
Jan Blachowicz,None,light heavyweight
Robert Whittaker,None,middleweight
Henry Cejudo,None,bantamweight
Caio Borralho,None,middleweight
Jack Della Maddalena,None,welterweight
Renato Moicano,None,"featherweight, lightweight"
Colby Covington,None,welterweight
Jiri Prochazka,None,light heavyweight
Diego Lopes,None,"featherweight, lightweight"
Zhang Weili,C,women's strawweight
Manon Fiorot,None,women's flyweight
Ian Machado Garry,None,welterweight
Mateusz Gamrot,None,lightweight
Curtis Blaydes,None,heavyweight
Israel Adesanya,None,middleweight
Brandon Moreno,None,flyweight
Conor McGregor,None,"lightweight, welterweight"
Nikita Krylov,None,light heavyweight
Anthony Hernandez,None,middleweight
Arnold Allen,None,featherweight
Deiveson Figueiredo,None,"flyweight, bantamweight"
Jamahal Hill,None,light heavyweight
Jose Aldo,None,bantamweight
Michael Morales,None,welterweight
Lerone Murphy,None,featherweight
Beneil Dariush,None,lightweight
Mario Bautista,None,bantamweight
Carlos Ulberg,None,light heavyweight
Rinat Fakhretdinov,None,welterweight
Dan Hooker,None,lightweight
Cory Sandhagen,None,bantamweight
Paddy Pimblett,None,"featherweight, lightweight"
Roman Dolidze,None,"middleweight, light heavyweight"
Jailton Almeida,None,heavyweight
Valentina Shevchenko,C,women's flyweight
Josh Emmett,None,featherweight
Erin Blanchfield,None,women's flyweight
Marvin Vettori,None,middleweight
Geoff Neal,None,welterweight
Grant Dawson,None,"featherweight, lightweight"
Aljamain Sterling,None,"bantamweight, featherweight"
Diego Ferreira,None,lightweight
Michael Chandler,None,"lightweight, welterweight"
Brendan Allen,None,middleweight
Carlos Prates,None,welterweight
Serghei Spivac,None,heavyweight
Azamat Murzakanov,None,light heavyweight
Joel Alvarez,None,lightweight
Paulo Costa,None,middleweight
Michael Page,None,"welterweight, middleweight"
Jack Hermansson,None,middleweight
Sergei Pavlovich,None,heavyweight
Marlon Vera,None,bantamweight
Kayla Harrison,None,women's bantamweight
Yair Rodriguez,None,featherweight
Rob Font,None,bantamweight
Brian Ortega,None,"featherweight, lightweight"
Gilbert Burns,None,welterweight
Kelvin Gastelum,None,"welterweight, middleweight"
Michael Chiesa,None,welterweight
Gunnar Nelson,None,welterweight
Vicente Luque,None,welterweight
Ludovit Klein,None,"featherweight, lightweight"
Brandon Royval,None,flyweight
